BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
701,10,4.6,16.3,101999.6,SRTF,5.5,21.8,4
702,10,5.4,15.2,102377.8,SRTF,3.4,18.6,2.1
703,10,4.6,28.1,102603.1,RR,47,75.1,4.6
704,10,4.7,12.7,102848.9,SJF,10.7,23.4,10.7
705,10,3.6,12.6,102918.7,RR,52.1,64.7,11
706,10,4.4,13.7,102958.4,SRTF,25.9,39.6,22.7
707,10,5.3,19.9,103006.3,SRTF,23.5,43.4,11
708,10,4.4,25.5,103081.2,SRTF,36.2,61.7,33.6
709,10,4.9,15.6,103339.3,SRTF,3.1,18.7,1.6
710,10,5.1,15.5,103669.2,RR,28.7,44.2,3.9
711,10,4.8,18.4,103893.3,RR,33.3,51.7,6.8
712,10,5.2,14.5,104072.2,SRTF,2.9,17.4,0.3
713,10,4,6,104188.5,SRTF,1.6,7.6,1.3
714,10,5.5,20.5,104255.5,SRTF,23.1,43.6,18.8
715,10,3.3,20.5,104290.1,SRTF,31,51.5,27.6
716,10,5.4,21.9,104315.5,SRTF,34.2,56.1,26.4
717,10,3.4,14.4,104504.7,RR,11.3,25.7,2.1
718,10,2.9,14.1,104855.8,FCFS,0.6,14.7,0.6
719,10,4.1,19.2,105281.4,SRTF,3.8,23,2.4
720,10,4.2,26,105466,SRTF,39.9,65.9,38.6
721,10,5.3,7.4,105540.7,SRTF,5.4,12.8,3.9
722,10,4.8,24.6,105610.9,SRTF,39.5,64.1,25.7
723,10,3.6,17.3,105671.8,SRTF,18,35.3,13.4
724,10,4.4,22.1,105701.7,SJF,60.1,82.2,60.1
725,10,3.7,15.2,105881.4,FCFS,1.1,16.3,1.1
726,10,4.8,13.7,106214.1,SRTF,3.8,17.5,2.5
727,10,5,11.2,106453,SRTF,5.7,16.9,4.1
728,10,4.6,20.7,106570.7,RR,32,52.7,6.8
729,10,5.8,21.9,106645.6,SRTF,30.7,52.6,30.1
730,10,4.3,15.4,106698.6,SRTF,16,31.4,8.7
731,10,4.2,23,106750,SRTF,50.5,73.5,46.9
732,10,6.3,28.1,106847.8,SRTF,30.7,58.8,26
733,10,5,15.2,107011.7,FCFS,4.3,19.5,4.3
